"Priority","Category","RelativePath","Extension","Lines","Bytes","SHA256","Role"
"B-支持","Terrain 雪 Shader","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\TerrainBake\SnowCoverage (Terrain-Bake).shader",".shader","312","21069","7A134267C42E878D61EEB9D7FAE0EB9EF51946DD5AFEC820C4C2A848B3FA6191","Terrain 第一层/Add Pass、Tessellation 或远景烘焙入口。"
"B-支持","Terrain 雪 Shader","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\TerrainBake\SnowCoverage (Terrain-BaseGen).shader",".shader","216","6643","C40273AFC160EA1E1445841211366BBABE8623165B25C9EE0AC17915387B39D3","Terrain 第一层/Add Pass、Tessellation 或远景烘焙入口。"
"B-支持","Terrain 雪 Shader","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\TerrainRender\SnowCoverage (Terrain Add Pass-Tessellation).shader",".shader","343","17920","BF139E08C795F923AB7F75165FC91B6864D4C3B550255F4DCFCB848A679AC7ED","Terrain 第一层/Add Pass、Tessellation 或远景烘焙入口。"
"B-支持","Terrain 雪 Shader","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\TerrainRender\SnowCoverage (Terrain Add Pass).shader",".shader","323","22133","FA622F3042ABDC113F3E93E9F383B23789C2659DC5BC640E6E30E579DCA63974","Terrain 第一层/Add Pass、Tessellation 或远景烘焙入口。"
"B-支持","Terrain 雪 Shader","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\TerrainRender\SnowCoverage (Terrain-Tessellation).shader",".shader","537","31437","A6F21E5B4BA4BBEEA036B2EE8CB7120E643BD1B8D3301F96E3A76EFD746D4A57","Terrain 第一层/Add Pass、Tessellation 或远景烘焙入口。"
"B-支持","Terrain 雪 Shader","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\TerrainRender\SnowCoverage (Terrain).shader",".shader","509","29940","251EA926DB8389793864221E85322EFD9790E128D2CCE9F7D089EFDE1394600F","Terrain 第一层/Add Pass、Tessellation 或远景烘焙入口。"
"B-支持","Terrain 雪支持","Assets\NOT_Lonely\Weatherade SRS\Scripts\SRS_TerrainUtility.cs",".cs","225","9448","B26D9594E25AF26E01FC150869F1D00387FD78DA594E2DE92ADE8ADBB9524D77","烘焙 Terrain 远景 Albedo/Normal，并扩大 patch bounds 避免位移剔除。"
"B-支持","Terrain 雪支持","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_TerrainBake.hlsl",".hlsl","20","621","B52FA50375AECEFCFC52C2FA10AF7685AFBCC6858630BB787DAF57E6253CC6A5","修改后的 URP Terrain 输入、splat、各渲染 Pass 与 Bake。"
"B-支持","Terrain 雪支持","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_TerrainDepthOnlyPass.hlsl",".hlsl","80","2478","49B62AA0EFBEF3CFE39F41883F8E3F748776A27B43820168565C5A5C94715AFB","修改后的 URP Terrain 输入、splat、各渲染 Pass 与 Bake。"
"B-支持","Terrain 雪支持","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_TerrainLitDepthNormalsPass.hlsl",".hlsl","172","6841","4DA37691F0850F3340023D4F2379F537076F6ED904CDF442529AF50C3EFDF89E","修改后的 URP Terrain 输入、splat、各渲染 Pass 与 Bake。"
"B-支持","Terrain 雪支持","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_TerrainLitInput.hlsl",".hlsl","320","9550","863EEC9A7CC75273588E789A0D024BEEA4A7318E82515F0A7765BE28C618C6DA","修改后的 URP Terrain 输入、splat、各渲染 Pass 与 Bake。"
"B-支持","Terrain 雪支持","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_TerrainLitPasses.hlsl",".hlsl","575","27378","3672005332C09489655EC96A024189AC8C1DD723B96C31FD456327054CB5EA0E","修改后的 URP Terrain 输入、splat、各渲染 Pass 与 Bake。"
"B-支持","Terrain 雪支持","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_TerrainShadowCasterPass.hlsl",".hlsl","96","2898","554B01335A01ABB9FE07B19DE81AF3F9928DF1A164255DAEDEAD291F12A60BF6","修改后的 URP Terrain 输入、splat、各渲染 Pass 与 Bake。"
"B-支持","URP 多 Pass","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_DepthOnlyPass.hlsl",".hlsl","71","2239","77E5327F1BE77704FE8238FE0D7B9393D93FEAC1A4317D03C85033D510E89246","确保位移后的雪几何写入正确相机深度。"
"B-支持","URP 多 Pass","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_LitDepthNormalsPass.hlsl",".hlsl","241","9132","467594AC8861580DA3A427B83A91FDD7C9806C08340ACA8587FA0D618775A179","输出位移后且带雪/痕迹影响的深度法线。"
"B-支持","URP 多 Pass","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_LitForwardPass.hlsl",".hlsl","341","12713","A8699AB4927EA8DA7951A55F9DBEC2408F0686F445BBF102DE83C760F847E8A0","URP Forward 入口，把 SnowCoverage 结果接到 PBR 光照。"
"B-支持","URP 多 Pass","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_LitGBufferPass.hlsl",".hlsl","325","13919","FDF635FDD319137AD0F86ECFAD3EC842EBC250AB896E1565390AA573AE188215","URP Deferred/GBuffer 版本的雪表面入口。"
"B-支持","URP 多 Pass","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_ShadowCasterPass.hlsl",".hlsl","114","3642","44017DC6CB98E884D31EF7876A5249C399791F23DEE57786C1AEDCAC0B2A226B","让位移后的雪几何投射正确阴影。"
"B-支持","URP 深度接入","Assets\NOT_Lonely\Weatherade SRS\Scripts\Extra\SRS_DataTransfer.cs",".cs","100","2669","DA9FB492917FC6A640FBC12CB0AA81E1D5828B3835E10517D0520D42C06E4728","传递 Camera->RTHandle 映射给 Unity 6 RenderGraph 分支，并向 Shader 提供主相机方向。"
"B-支持","URP 深度接入","Assets\NOT_Lonely\Weatherade SRS\Shaders\Extra\DepthRenderer.shader",".shader","767","36072","D08ADAA5B7ECB40F5046915EBD9E882DF249920AFD1FE19D5C3399DE8D07F39E","Renderer Feature 的替换 Shader，把普通场景几何统一写入 SRS 深度目标。"
"B-支持","URP 雪材质接口","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_LitInputSnow.hlsl",".hlsl","420","15499","99B3CE44EA8D941BE75584FE0EDB6795F4253DB83ABEB19FCB82DE6DA1655E2F","声明雪 Mesh Shader 的材质 CBUFFER、纹理、采样器与 SurfaceData 初始化。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Scripts\Editor\SnowCoverage_editor.cs",".cs","824","48712","8B0455ABF38F73A209A18844DC8F5D67E021208C48DBC49B167962ABB246149C","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Scripts\Editor\SRS_Particles_editor.cs",".cs","805","50209","0ACE0ABDDE803C7AC31273B81C4F64EC433C44F3BB5EC399D7728E54CD4D88EC","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Scripts\Editor\SRS_TerrainUtility_editor.cs",".cs","76","3705","0D00E2042EB8662431B50E890506CB4F79B3CAC9E5325892F9EF42AFDD97BCAE","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Scripts\Editor\SRS_TraceMaskGenerator_editor.cs",".cs","154","8070","AAECFC0C03222A3A1F0C863B5FD7BDBBE345FC9CB39FCE64E49C8852318808A6","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Scripts\Editor\VectorLabelsAttributeDrawer.cs",".cs","79","3770","D48C3204871E052583277EF37B9F150A67DE57EBB7E5C04432A960738FCE62EC","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Shaders\Editor\NL_MaterialEditorExtensions.cs",".cs","31","994","BFE329A303DC3AE5C0019ECAA8F330F3CFDA93E86E14D9435561CABA8E909513","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Shaders\Editor\NL_SRS_SnowCoverage_GUI.cs",".cs","175","7044","348EF85336634A3D269D3FEABF8B8D0754E4DB503554DCF8C10A71AB47E5E532","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Shaders\Editor\NL_SRS_SnowCoverageTerrain_GUI.cs",".cs","375","18880","E2AA1B89B27CF961148DBC27E6DCB2617E80802E9F6B671AF40485B5349AE3CA","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Shaders\Editor\SnowShadersGUI.cs",".cs","700","49048","BA70C863C2BFB73CC682C3B00666CF8EF8D04267C51B8E6915185D1128A4F503","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Shaders\Editor\SRS_CoverageShaderGUI_base.cs",".cs","475","20933","564D561F5D7F9BA83CDC02F052995E0BBA3D2D10C7B7E68F582DE9534E747E5C","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","编辑器与 Inspector","Assets\NOT_Lonely\Weatherade SRS\Shaders\Editor\URP_LitDetailGUI.cs",".cs","76","4302","2EA150C3B4CAA4558CEE434D410BC2A0545F6BA081C3661CD8744D6C229BD4AD","自定义 Inspector/ShaderGUI，处理分组、Undo、keyword 和 Override UI。"
"C-扩展","材质迁移工具","Assets\NOT_Lonely\BatchShaderSwapper\BatchShaderSwapper.cs",".cs","368","14004","32DA716A7324D21E40A5919E5EE238890937B1330D7E5977C664DB8FDF3F3187","编辑器批量查找并替换 Material Shader，默认可把材质迁移到 Weatherade Snow Coverage。"
"C-扩展","共享支持","Assets\NOT_Lonely\Weatherade SRS\Scripts\Extra\NL_Styles.cs",".cs","240","21655","51CBCFD9A89E0D17E7D7108366B44E70C7E3C38647134C6D93FEA5A62A01F9F3","被雪系统或其编辑器/示例间接使用的支持源码。"
"C-扩展","共享支持","Assets\NOT_Lonely\Weatherade SRS\Scripts\Extra\VectorLabelsAttribute.cs",".cs","10","218","268D52528D8E71C9982BFDA6EAB212390E94E5031CD28ADAC153630EAB34A5D4","被雪系统或其编辑器/示例间接使用的支持源码。"
"C-扩展","共享支持","Assets\NOT_Lonely\Weatherade SRS\Scripts\Extra\VisibilityCheck.cs",".cs","20","458","F2A60D96E824A6A35EDBD97F3FBC2624D999F4909FA2E748A09362297A73D6C7","被雪系统或其编辑器/示例间接使用的支持源码。"
"C-扩展","共享支持","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_Tessellation_ASE.hlsl",".hlsl","232","10043","6061F9E2F229E2D319A0A71019BA2C72E7524AF455D45E7BD1787B0C907E112E","被雪系统或其编辑器/示例间接使用的支持源码。"
"C-扩展","可选 GPU 飘雪","Assets\NOT_Lonely\Weatherade SRS\Scripts\SRS_ParticleSystem.cs",".cs","1526","68508","A045635D84AE46F9FCBFF7D9CC7CDF61E6D1DABB94096D7CC406EE838CD8F400","以 RenderTexture 保存粒子状态、GPU 模拟并渲染飘雪。"
"C-扩展","可选 GPU 飘雪","Assets\NOT_Lonely\Weatherade SRS\Shaders\ParticleSystem\SRS_ParticleSystem_Render.shader",".shader","2197","148267","BB798950822678AE202C8EC5CD9D10E9C080C7ACCCD7F18B2921EAD723642F1D","GPU 粒子状态模拟或渲染 Shader。"
"C-扩展","可选 GPU 飘雪","Assets\NOT_Lonely\Weatherade SRS\Shaders\ParticleSystem\SRS_ParticleSystem_Simulation.shader",".shader","891","68776","C24A84F951642748EC746350FA6A8645936BFF38B7C0E735DDE1D0A6CD9AE904","GPU 粒子状态模拟或渲染 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Data\NL_PaintableObjectData.cs",".cs","38","1166","52025065F337CDA617C30CAF435E215CAAD75622D0F70119BDB862B8A2EEE33E","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Editor\NL_IsolationModeWindow.cs",".cs","49","1519","7558FEA30D27214E45794781E33F0223609988821DC10218C14F8AD9BF01154D","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Editor\NL_IsolationStage.cs",".cs","107","4244","2CE6A3FEF184A25A17DFFB700B9EFF60F99937211240149EC56ED581638D2777","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Editor\NL_PaintableObject_UI.cs",".cs","73","2789","42D028FD99A523F09EB272CFEAE4A268573906AEF936B289E258B447AF20CFED","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Editor\NL_TotalBrush.cs",".cs","1981","85320","E990A28E2BF83A53E6D36E6B594495F1A763062077EE928D81BC6DC1E5D2DD93","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Editor\NL_TotalBrushOverlay.cs",".cs","47","1378","3C0AE531A0172A05139A3ACC3B62A7829D6512DDD21594384EE5926072FE5179","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Editor\NL_TotalBrushOverlayBtn.cs",".cs","26","710","C904E28D42743C673EED829850914280EBDB0C612192EEA3E639C023FEC613E3","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\NL_PaintableObject.cs",".cs","317","11598","0FD2ECCB514881F7A0FD77FA71EC64893BF0A1913C6A1FECEB4904C996FEBE00","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\NL_TotalBrushStyles.cs",".cs","108","3209","8B1053990C0D6C32FD9DED307CB6DBE0DFDE78D238DC9D78D78EDAAB6B5DABCD","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\NL_TotalBrushUtilities.cs",".cs","252","8932","2941290084398DCCD2275513E882C9B947D875CDC1108778EACB517EADA9783F","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\NormalsDebugger.cs",".cs","66","2072","F6FE3CCDFFB6BEEB2DE6ADBDE7D20F0F9B5FDD6B038ACB7BCB5A2CAD7B4480BD","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Tools\NL_BrushTool.cs",".cs","45","2069","B484EEFFC9F1E0FADE1E70C21C919B4793B54D1E75CAAC8F5384802156037A21","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Tools\NL_FillTool.cs",".cs","33","1125","A7BD8A3470898C1153AF40CC55765FF6CB860E51EFB24C3B416D994C565CABEE","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Scripts\Tools\NL_GradientFillTool.cs",".cs","51","2641","F7EFC3CD2F1D5A3AC56710246134557A33BA5BF53A9FB90D0F09008718C32AC7","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Shaders\Compute\NL_TotalBrush_Compute.compute",".compute","327","9997","B06B45106EBD4D843360FCB4D7D20D4875F5293F6610571A4348D04C4FCFCF1B","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Shaders\NL_Dithering.shader",".shader","162","5706","7C5BBBAB45C72E0C32B50454AF59D793B3D35F745C0561EDB32B6D7C13CC9ACB","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Shaders\NL_MaskPainting.shader",".shader","182","6522","17A201850B915F40D97C8B07B9EA80C8318C8E73B49CE428EE714D2902F72176","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","可选可绘制覆盖工具","Assets\NOT_Lonely\TotalBrush\Shaders\NL_VertexDebug.shader",".shader","176","6889","4F45A28EDE329CD7F3BE9D09D7F49142CCDED3A30714701AF063528B353813D4","TotalBrush 的运行时数据、SceneView 编辑器、Compute 和绘制 Shader。"
"C-扩展","雪光照","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_Lighting.hlsl",".hlsl","215","9633","1283B412EB1C23C44A71D54AE839642B0C34F4EE579200C8F3C5EE487F7F681C","雪的闪光、近似次表面散射和颜色增强。"
"C-扩展","雪光照","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_LightingCommon.hlsl",".hlsl","171","7018","4B8B3989FFCFED8D6474062DC9310DAFAE32C99F0A61BB06D149617B6AA165DD","雪的闪光、近似次表面散射和颜色增强。"
"C-扩展","样例交互","Assets\NOT_Lonely\FirstPersonController\NL_Footsteps.cs",".cs","148","4816","522B69A17CDECDE916279D2A62ACD1D15D0C83128A920D1A16649FF49C3E09AB","样例第一人称移动、相机动画和脚步反馈。"
"C-扩展","样例交互","Assets\NOT_Lonely\FirstPersonController\SimpleFPController.cs",".cs","166","5578","ECFD93D5BEF7FB14CB628A6666AA650634CE592564E8B362893F4CA749069D20","样例第一人称移动、相机动画和脚步反馈。"
"C-扩展","样例交互","Assets\NOT_Lonely\Weatherade SRS\Samples\SharedContent\Scripts\Projectile.cs",".cs","98","2777","12F5D75F7C119633CC1322A58F232460C080EC6BB018136408F5D1E7F99A49D4","样例发射器与投射物碰撞逻辑。"
"C-扩展","样例交互","Assets\NOT_Lonely\Weatherade SRS\Samples\SharedContent\Scripts\SimpleGun.cs",".cs","70","1932","FFE2BDCF2CFC099D02DD45299713C2C8E0CC35972DB2A0B1368378709C439442","样例发射器与投射物碰撞逻辑。"
"C-扩展","样例控制","Assets\NOT_Lonely\Weatherade SRS\Scripts\Examples\RealtimeCoverageAmountChange.cs",".cs","50","1380","9D12A6ECBA84ECF2266EDA0CF5E90C87EFDBB0123FE60F7763E4E9175FF59814","运行时改变积雪量的最小示例。"
"D-参考","Built-in 管线兼容","Assets\NOT_Lonely\Weatherade SRS\Shaders\CGIncludes\SRS_Base.cginc",".cginc","179","6043","3459039A893E66C5D02A7E96CA4FEF8C888B646CA31A8E318607CB4ACDCA0A7A","Built-in 管线的覆盖、雪、光照、Terrain 和细分实现。"
"D-参考","Built-in 管线兼容","Assets\NOT_Lonely\Weatherade SRS\Shaders\CGIncludes\SRS_DeferredShading.cginc",".cginc","235","8618","CD14268C202DFE3A784E1327C7EE6727CEA1497A5AA9975EB20384AFEA59CB16","Built-in 管线的覆盖、雪、光照、Terrain 和细分实现。"
"D-参考","Built-in 管线兼容","Assets\NOT_Lonely\Weatherade SRS\Shaders\CGIncludes\SRS_Lighting.cginc",".cginc","201","8154","84B770DD82857108294BE516AF84F0E35876FAAE3911957AD7F5B625BEB5D6B3","Built-in 管线的覆盖、雪、光照、Terrain 和细分实现。"
"D-参考","Built-in 管线兼容","Assets\NOT_Lonely\Weatherade SRS\Shaders\CGIncludes\SRS_Lightmapping.cginc",".cginc","114","2879","F21BE4C9C6F2A21E6481AC28E80AA101D0E289CEAC3202FD5C04027612DFDCE2","Built-in 管线的覆盖、雪、光照、Terrain 和细分实现。"
"D-参考","Built-in 管线兼容","Assets\NOT_Lonely\Weatherade SRS\Shaders\CGIncludes\SRS_SnowCoverage.cginc",".cginc","435","19051","82C9C211E4DD843146AA1D720735A60D8FC5A80278871B51A956D2FCAC8EB670","Built-in 管线的覆盖、雪、光照、Terrain 和细分实现。"
